beach_name,collection_date,site_name,e_coli,Date,is_outlier
Sunnyside Beach,2024-09-08,18,70,2024-09-08,Normal
Sunnyside Beach,2024-09-08,17,60,2024-09-08,Normal
Sunnyside Beach,2024-09-08,20,130,2024-09-08,Normal
Sunnyside Beach,2024-09-08,21,120,2024-09-08,Normal
Sunnyside Beach,2024-09-08,19,50,2024-09-08,Normal
Sunnyside Beach,2024-09-08,22,100,2024-09-08,Normal
Sunnyside Beach,2024-09-07,17,50,2024-09-07,Normal
Sunnyside Beach,2024-09-07,20,50,2024-09-07,Normal
Sunnyside Beach,2024-09-07,21,70,2024-09-07,Normal
Sunnyside Beach,2024-09-07,19,100,2024-09-07,Normal
Sunnyside Beach,2024-09-07,22,40,2024-09-07,Normal
Sunnyside Beach,2024-09-06,18,460,2024-09-06,Normal
Sunnyside Beach,2024-09-06,17,530,2024-09-06,Normal
Sunnyside Beach,2024-09-06,20,170,2024-09-06,Normal
Sunnyside Beach,2024-09-06,21,610,2024-09-06,Normal
Sunnyside Beach,2024-09-06,19,70,2024-09-06,Normal
Sunnyside Beach,2024-09-06,22,190,2024-09-06,Normal
Sunnyside Beach,2024-09-05,18,10,2024-09-05,Normal
Sunnyside Beach,2024-09-05,17,10,2024-09-05,Normal
Sunnyside Beach,2024-09-05,20,80,2024-09-05,Normal
Sunnyside Beach,2024-09-05,21,210,2024-09-05,Normal
Sunnyside Beach,2024-09-05,19,10,2024-09-05,Normal
Sunnyside Beach,2024-09-05,22,10,2024-09-05,Normal
Sunnyside Beach,2024-09-04,18,750,2024-09-04,Normal
Sunnyside Beach,2024-09-04,17,700,2024-09-04,Normal
Sunnyside Beach,2024-09-04,20,780,2024-09-04,Normal
Sunnyside Beach,2024-09-04,21,770,2024-09-04,Normal
Sunnyside Beach,2024-09-04,19,780,2024-09-04,Normal
Sunnyside Beach,2024-09-04,22,750,2024-09-04,Normal
Sunnyside Beach,2024-09-03,18,1000,2024-09-03,Normal
Sunnyside Beach,2024-09-03,17,1000,2024-09-03,Normal
Sunnyside Beach,2024-09-03,20,1000,2024-09-03,Normal
Sunnyside Beach,2024-09-03,21,1000,2024-09-03,Normal
Sunnyside Beach,2024-09-03,19,1000,2024-09-03,Normal
Sunnyside Beach,2024-09-03,22,1000,2024-09-03,Normal
Marie Curtis Park East Beach,2024-09-02,29,110,2024-09-02,Normal
Marie Curtis Park East Beach,2024-09-02,33,110,2024-09-02,Normal
Marie Curtis Park East Beach,2024-09-02,32,60,2024-09-02,Normal
Marie Curtis Park East Beach,2024-09-02,31,100,2024-09-02,Normal
Marie Curtis Park East Beach,2024-09-02,30,70,2024-09-02,Normal
Sunnyside Beach,2024-09-02,18,440,2024-09-02,Normal
Sunnyside Beach,2024-09-02,17,340,2024-09-02,Normal
Sunnyside Beach,2024-09-02,20,10,2024-09-02,Normal
Sunnyside Beach,2024-09-02,21,10,2024-09-02,Normal
Sunnyside Beach,2024-09-02,19,60,2024-09-02,Normal
Sunnyside Beach,2024-09-02,22,30,2024-09-02,Normal
Marie Curtis Park East Beach,2024-09-01,29,230,2024-09-01,Normal
Marie Curtis Park East Beach,2024-09-01,33,220,2024-09-01,Normal
Marie Curtis Park East Beach,2024-09-01,32,240,2024-09-01,Normal
Marie Curtis Park East Beach,2024-09-01,31,200,2024-09-01,Normal
Marie Curtis Park East Beach,2024-09-01,30,200,2024-09-01,Normal
Sunnyside Beach,2024-09-01,18,910,2024-09-01,Normal
Sunnyside Beach,2024-09-01,17,210,2024-09-01,Normal
Sunnyside Beach,2024-09-01,20,170,2024-09-01,Normal
Sunnyside Beach,2024-09-01,21,80,2024-09-01,Normal
Sunnyside Beach,2024-09-01,19,400,2024-09-01,Normal
Sunnyside Beach,2024-09-01,22,360,2024-09-01,Normal
Marie Curtis Park East Beach,2024-08-31,29,50,2024-08-31,Normal
Marie Curtis Park East Beach,2024-08-31,33,870,2024-08-31,Normal
Marie Curtis Park East Beach,2024-08-31,32,1010,2024-08-31,Normal
Marie Curtis Park East Beach,2024-08-31,31,250,2024-08-31,Normal
Marie Curtis Park East Beach,2024-08-31,30,150,2024-08-31,Normal
Sunnyside Beach,2024-08-31,18,290,2024-08-31,Normal
Sunnyside Beach,2024-08-31,17,350,2024-08-31,Normal
Sunnyside Beach,2024-08-31,20,110,2024-08-31,Normal
Sunnyside Beach,2024-08-31,21,400,2024-08-31,Normal
Sunnyside Beach,2024-08-31,19,200,2024-08-31,Normal
Sunnyside Beach,2024-08-31,22,330,2024-08-31,Normal
Marie Curtis Park East Beach,2024-08-30,29,30,2024-08-30,Normal
Marie Curtis Park East Beach,2024-08-30,33,30,2024-08-30,Normal
Marie Curtis Park East Beach,2024-08-30,32,40,2024-08-30,Normal
Marie Curtis Park East Beach,2024-08-30,31,40,2024-08-30,Normal
Marie Curtis Park East Beach,2024-08-30,30,60,2024-08-30,Normal
Sunnyside Beach,2024-08-30,18,70,2024-08-30,Normal
Sunnyside Beach,2024-08-30,17,20,2024-08-30,Normal
Sunnyside Beach,2024-08-30,20,30,2024-08-30,Normal
Sunnyside Beach,2024-08-30,21,110,2024-08-30,Normal
Sunnyside Beach,2024-08-30,19,20,2024-08-30,Normal
Sunnyside Beach,2024-08-30,22,30,2024-08-30,Normal
Marie Curtis Park East Beach,2024-08-29,29,50,2024-08-29,Normal
Marie Curtis Park East Beach,2024-08-29,33,100,2024-08-29,Normal
Marie Curtis Park East Beach,2024-08-29,32,110,2024-08-29,Normal
Marie Curtis Park East Beach,2024-08-29,31,30,2024-08-29,Normal
Marie Curtis Park East Beach,2024-08-29,30,100,2024-08-29,Normal
Sunnyside Beach,2024-08-29,18,120,2024-08-29,Normal
Sunnyside Beach,2024-08-29,17,60,2024-08-29,Normal
Sunnyside Beach,2024-08-29,20,90,2024-08-29,Normal
Sunnyside Beach,2024-08-29,21,290,2024-08-29,Normal
Sunnyside Beach,2024-08-29,19,40,2024-08-29,Normal
