Name,collection_date,site_name,e_coli,Date,is_outlier
Sunnyside Beach,2024-09-08,18W,70,2024-09-08,Normal
Sunnyside Beach,2024-09-08,17W,60,2024-09-08,Normal
Sunnyside Beach,2024-09-08,20W,130,2024-09-08,Normal
Sunnyside Beach,2024-09-08,21W,120,2024-09-08,Normal
Sunnyside Beach,2024-09-08,19W,50,2024-09-08,Normal
Sunnyside Beach,2024-09-08,22W,100,2024-09-08,Normal
Sunnyside Beach,2024-09-07,17W,50,2024-09-07,Normal
Sunnyside Beach,2024-09-07,20W,50,2024-09-07,Normal
Sunnyside Beach,2024-09-07,21W,70,2024-09-07,Normal
Sunnyside Beach,2024-09-07,19W,100,2024-09-07,Normal
Sunnyside Beach,2024-09-07,22W,40,2024-09-07,Normal
Sunnyside Beach,2024-09-06,18W,460,2024-09-06,Normal
Sunnyside Beach,2024-09-06,17W,530,2024-09-06,Normal
Sunnyside Beach,2024-09-06,20W,170,2024-09-06,Normal
Sunnyside Beach,2024-09-06,21W,610,2024-09-06,Normal
Sunnyside Beach,2024-09-06,19W,70,2024-09-06,Normal
Sunnyside Beach,2024-09-06,22W,190,2024-09-06,Normal
Sunnyside Beach,2024-09-05,18W,10,2024-09-05,Normal
Sunnyside Beach,2024-09-05,17W,10,2024-09-05,Normal
Sunnyside Beach,2024-09-05,20W,80,2024-09-05,Normal
Sunnyside Beach,2024-09-05,21W,210,2024-09-05,Normal
Sunnyside Beach,2024-09-05,19W,10,2024-09-05,Normal
Sunnyside Beach,2024-09-05,22W,10,2024-09-05,Normal
Sunnyside Beach,2024-09-04,18W,750,2024-09-04,Normal
Sunnyside Beach,2024-09-04,17W,700,2024-09-04,Normal
Sunnyside Beach,2024-09-04,20W,780,2024-09-04,Normal
Sunnyside Beach,2024-09-04,21W,770,2024-09-04,Normal
Sunnyside Beach,2024-09-04,19W,780,2024-09-04,Normal
Sunnyside Beach,2024-09-04,22W,750,2024-09-04,Normal
Sunnyside Beach,2024-09-03,18W,1000,2024-09-03,Normal
Sunnyside Beach,2024-09-03,17W,1000,2024-09-03,Normal
Sunnyside Beach,2024-09-03,20W,1000,2024-09-03,Normal
Sunnyside Beach,2024-09-03,21W,1000,2024-09-03,Normal
Sunnyside Beach,2024-09-03,19W,1000,2024-09-03,Normal
Sunnyside Beach,2024-09-03,22W,1000,2024-09-03,Normal
Marie Curtis Park East Beach,2024-09-02,29W,110,2024-09-02,Normal
Marie Curtis Park East Beach,2024-09-02,33W,110,2024-09-02,Normal
Marie Curtis Park East Beach,2024-09-02,32W,60,2024-09-02,Normal
Marie Curtis Park East Beach,2024-09-02,31W,100,2024-09-02,Normal
Marie Curtis Park East Beach,2024-09-02,30W,70,2024-09-02,Normal
Sunnyside Beach,2024-09-02,18W,440,2024-09-02,Normal
Sunnyside Beach,2024-09-02,17W,340,2024-09-02,Normal
Sunnyside Beach,2024-09-02,20W,10,2024-09-02,Normal
Sunnyside Beach,2024-09-02,21W,10,2024-09-02,Normal
Sunnyside Beach,2024-09-02,19W,60,2024-09-02,Normal
Sunnyside Beach,2024-09-02,22W,30,2024-09-02,Normal
Marie Curtis Park East Beach,2024-09-01,29W,230,2024-09-01,Normal
Marie Curtis Park East Beach,2024-09-01,33W,220,2024-09-01,Normal
Marie Curtis Park East Beach,2024-09-01,32W,240,2024-09-01,Normal
Marie Curtis Park East Beach,2024-09-01,31W,200,2024-09-01,Normal
Marie Curtis Park East Beach,2024-09-01,30W,200,2024-09-01,Normal
Sunnyside Beach,2024-09-01,18W,910,2024-09-01,Normal
Sunnyside Beach,2024-09-01,17W,210,2024-09-01,Normal
