dates,number_of_ecoli,sitename,beachname
2012-05-26,1568,20,Sunnyside Beach
2015-09-21,222,22,Sunnyside Beach
2014-05-18,1855,22,Sunnyside Beach
2013-01-31,698,31,Marie Curtis Park East Beach
2011-12-17,372,21,Sunnyside Beach
2011-04-01,1085,32,Marie Curtis Park East Beach
2018-02-08,390,21,Sunnyside Beach
2015-10-17,1289,20,Sunnyside Beach
2020-02-22,44,33,Marie Curtis Park East Beach
2010-02-26,785,29,Marie Curtis Park East Beach
2012-04-19,529,20,Sunnyside Beach
2014-10-06,661,33,Marie Curtis Park East Beach
2008-10-01,1576,22,Sunnyside Beach
2008-06-29,1284,19,Sunnyside Beach
2011-11-05,1688,30,Marie Curtis Park East Beach
2024-03-12,1569,17,Sunnyside Beach
2007-11-06,974,17,Sunnyside Beach
2022-05-10,1595,31,Marie Curtis Park East Beach
2016-05-24,1521,18,Sunnyside Beach
2009-02-07,1966,29,Marie Curtis Park East Beach
2022-12-21,636,31,Marie Curtis Park East Beach
2013-02-17,53,21,Sunnyside Beach
2008-02-12,828,23,Sunnyside Beach
2015-10-14,1203,20,Sunnyside Beach
2018-07-13,235,18,Sunnyside Beach
2010-07-28,92,31,Marie Curtis Park East Beach
2009-05-17,1079,18,Sunnyside Beach
2022-08-11,66,30,Marie Curtis Park East Beach
2020-09-17,567,21,Sunnyside Beach
2024-03-28,238,29,Marie Curtis Park East Beach
2017-05-15,1921,19,Sunnyside Beach
2015-12-12,1709,31,Marie Curtis Park East Beach
2020-08-09,828,22,Sunnyside Beach
2024-02-19,496,19,Sunnyside Beach
2021-12-02,1052,19,Sunnyside Beach
2011-06-10,1443,17,Sunnyside Beach
2017-02-05,1513,21,Sunnyside Beach
2014-10-19,918,18,Sunnyside Beach
2024-01-02,1152,29,Marie Curtis Park East Beach
2013-01-26,1259,31,Marie Curtis Park East Beach
2022-12-21,994,22,Sunnyside Beach
2015-04-14,707,30,Marie Curtis Park East Beach
2022-01-06,1267,29,Marie Curtis Park East Beach
2023-08-06,356,22,Sunnyside Beach
2015-02-17,1959,29,Marie Curtis Park East Beach
2022-04-09,1932,17,Sunnyside Beach
2022-04-29,55,31,Marie Curtis Park East Beach
2019-05-13,421,21,Sunnyside Beach
2008-07-06,1283,23,Sunnyside Beach
2013-08-18,1898,33,Marie Curtis Park East Beach
2012-05-13,1315,19,Sunnyside Beach
2015-06-02,28,21,Sunnyside Beach
2017-09-12,1124,32,Marie Curtis Park East Beach
2010-12-27,481,33,Marie Curtis Park East Beach
2022-10-25,1903,19,Sunnyside Beach
2012-10-08,793,21,Sunnyside Beach
2023-03-17,451,19,Sunnyside Beach
2017-12-27,1299,17,Sunnyside Beach
2008-07-20,1287,19,Sunnyside Beach
2011-04-18,1740,33,Marie Curtis Park East Beach
2020-11-01,641,30,Marie Curtis Park East Beach
2016-08-25,1421,32,Marie Curtis Park East Beach
2010-11-03,1475,29,Marie Curtis Park East Beach
2012-05-02,906,31,Marie Curtis Park East Beach
2011-02-21,1351,32,Marie Curtis Park East Beach
2017-06-21,452,32,Marie Curtis Park East Beach
2021-06-24,1098,32,Marie Curtis Park East Beach
2018-09-08,1347,23,Sunnyside Beach
2016-03-20,750,32,Marie Curtis Park East Beach
2010-07-10,953,31,Marie Curtis Park East Beach
2009-07-29,780,30,Marie Curtis Park East Beach
2017-02-09,1646,29,Marie Curtis Park East Beach
2012-08-05,524,22,Sunnyside Beach
2020-12-31,128,18,Sunnyside Beach
2017-02-19,160,21,Sunnyside Beach
2008-12-27,532,33,Marie Curtis Park East Beach
2020-05-03,856,19,Sunnyside Beach
2010-04-07,1560,32,Marie Curtis Park East Beach
2009-12-25,588,32,Marie Curtis Park East Beach
2012-10-17,1114,30,Marie Curtis Park East Beach
2017-10-27,1397,29,Marie Curtis Park East Beach
2014-05-24,1545,20,Sunnyside Beach
2009-09-08,1,32,Marie Curtis Park East Beach
2023-05-02,1216,30,Marie Curtis Park East Beach
2016-09-28,111,29,Marie Curtis Park East Beach
2009-08-18,146,29,Marie Curtis Park East Beach
2019-10-26,1013,18,Sunnyside Beach
2012-10-27,1458,18,Sunnyside Beach
2008-05-26,1764,20,Sunnyside Beach
2016-11-10,679,29,Marie Curtis Park East Beach
2023-11-06,352,20,Sunnyside Beach
2020-01-13,525,18,Sunnyside Beach
2012-07-13,1768,20,Sunnyside Beach
2012-04-12,1711,18,Sunnyside Beach
2012-04-16,583,18,Sunnyside Beach
2023-07-07,1910,30,Marie Curtis Park East Beach
2019-12-09,1351,29,Marie Curtis Park East Beach
2022-01-29,1587,30,Marie Curtis Park East Beach
2020-02-02,688,32,Marie Curtis Park East Beach
2007-10-17,138,22,Sunnyside Beach
