Name,collection_date,e_coli,Date
Sunnyside Beach,2024-09-08,70,2024-09-08
Sunnyside Beach,2024-09-08,60,2024-09-08
Sunnyside Beach,2024-09-08,130,2024-09-08
Sunnyside Beach,2024-09-08,120,2024-09-08
Sunnyside Beach,2024-09-08,50,2024-09-08
Sunnyside Beach,2024-09-08,100,2024-09-08
Sunnyside Beach,2024-09-07,50,2024-09-07
Sunnyside Beach,2024-09-07,50,2024-09-07
Sunnyside Beach,2024-09-07,70,2024-09-07
Sunnyside Beach,2024-09-07,100,2024-09-07
Sunnyside Beach,2024-09-07,40,2024-09-07
Sunnyside Beach,2024-09-06,460,2024-09-06
Sunnyside Beach,2024-09-06,530,2024-09-06
Sunnyside Beach,2024-09-06,170,2024-09-06
Sunnyside Beach,2024-09-06,610,2024-09-06
Sunnyside Beach,2024-09-06,70,2024-09-06
Sunnyside Beach,2024-09-06,190,2024-09-06
Sunnyside Beach,2024-09-05,10,2024-09-05
Sunnyside Beach,2024-09-05,10,2024-09-05
Sunnyside Beach,2024-09-05,80,2024-09-05
Sunnyside Beach,2024-09-05,210,2024-09-05
Sunnyside Beach,2024-09-05,10,2024-09-05
Sunnyside Beach,2024-09-05,10,2024-09-05
Sunnyside Beach,2024-09-04,750,2024-09-04
Sunnyside Beach,2024-09-04,700,2024-09-04
Sunnyside Beach,2024-09-04,780,2024-09-04
Sunnyside Beach,2024-09-04,770,2024-09-04
Sunnyside Beach,2024-09-04,780,2024-09-04
Sunnyside Beach,2024-09-04,750,2024-09-04
Sunnyside Beach,2024-09-03,1000,2024-09-03
Sunnyside Beach,2024-09-03,1000,2024-09-03
Sunnyside Beach,2024-09-03,1000,2024-09-03
Sunnyside Beach,2024-09-03,1000,2024-09-03
Sunnyside Beach,2024-09-03,1000,2024-09-03
Sunnyside Beach,2024-09-03,1000,2024-09-03
Marie Curtis Park East Beach,2024-09-02,110,2024-09-02
Marie Curtis Park East Beach,2024-09-02,110,2024-09-02
Marie Curtis Park East Beach,2024-09-02,60,2024-09-02
Marie Curtis Park East Beach,2024-09-02,100,2024-09-02
Marie Curtis Park East Beach,2024-09-02,70,2024-09-02
Sunnyside Beach,2024-09-02,440,2024-09-02
Sunnyside Beach,2024-09-02,340,2024-09-02
Sunnyside Beach,2024-09-02,10,2024-09-02
Sunnyside Beach,2024-09-02,10,2024-09-02
Sunnyside Beach,2024-09-02,60,2024-09-02
Sunnyside Beach,2024-09-02,30,2024-09-02
Marie Curtis Park East Beach,2024-09-01,230,2024-09-01
Marie Curtis Park East Beach,2024-09-01,220,2024-09-01
Marie Curtis Park East Beach,2024-09-01,240,2024-09-01
Marie Curtis Park East Beach,2024-09-01,200,2024-09-01
Marie Curtis Park East Beach,2024-09-01,200,2024-09-01
Sunnyside Beach,2024-09-01,910,2024-09-01
Sunnyside Beach,2024-09-01,210,2024-09-01
Sunnyside Beach,2024-09-01,170,2024-09-01
Sunnyside Beach,2024-09-01,80,2024-09-01
Sunnyside Beach,2024-09-01,400,2024-09-01
Sunnyside Beach,2024-09-01,360,2024-09-01
Marie Curtis Park East Beach,2024-08-31,50,2024-08-31
Marie Curtis Park East Beach,2024-08-31,870,2024-08-31
Marie Curtis Park East Beach,2024-08-31,1010,2024-08-31
Marie Curtis Park East Beach,2024-08-31,250,2024-08-31
Marie Curtis Park East Beach,2024-08-31,150,2024-08-31
Sunnyside Beach,2024-08-31,290,2024-08-31
Sunnyside Beach,2024-08-31,350,2024-08-31
Sunnyside Beach,2024-08-31,110,2024-08-31
Sunnyside Beach,2024-08-31,400,2024-08-31
Sunnyside Beach,2024-08-31,200,2024-08-31
Sunnyside Beach,2024-08-31,330,2024-08-31
Marie Curtis Park East Beach,2024-08-30,30,2024-08-30
Marie Curtis Park East Beach,2024-08-30,30,2024-08-30
Marie Curtis Park East Beach,2024-08-30,40,2024-08-30
Marie Curtis Park East Beach,2024-08-30,40,2024-08-30
Marie Curtis Park East Beach,2024-08-30,60,2024-08-30
Sunnyside Beach,2024-08-30,70,2024-08-30
Sunnyside Beach,2024-08-30,20,2024-08-30
Sunnyside Beach,2024-08-30,30,2024-08-30
Sunnyside Beach,2024-08-30,110,2024-08-30
Sunnyside Beach,2024-08-30,20,2024-08-30
Sunnyside Beach,2024-08-30,30,2024-08-30
Marie Curtis Park East Beach,2024-08-29,50,2024-08-29
Marie Curtis Park East Beach,2024-08-29,100,2024-08-29
Marie Curtis Park East Beach,2024-08-29,110,2024-08-29
Marie Curtis Park East Beach,2024-08-29,30,2024-08-29
Marie Curtis Park East Beach,2024-08-29,100,2024-08-29
Sunnyside Beach,2024-08-29,120,2024-08-29
Sunnyside Beach,2024-08-29,60,2024-08-29
Sunnyside Beach,2024-08-29,90,2024-08-29
Sunnyside Beach,2024-08-29,290,2024-08-29
Sunnyside Beach,2024-08-29,40,2024-08-29
Sunnyside Beach,2024-08-29,40,2024-08-29
Marie Curtis Park East Beach,2024-08-28,10,2024-08-28
Marie Curtis Park East Beach,2024-08-28,40,2024-08-28
Marie Curtis Park East Beach,2024-08-28,50,2024-08-28
Marie Curtis Park East Beach,2024-08-28,50,2024-08-28
Marie Curtis Park East Beach,2024-08-28,10,2024-08-28
Sunnyside Beach,2024-08-28,490,2024-08-28
Sunnyside Beach,2024-08-28,600,2024-08-28
Sunnyside Beach,2024-08-28,260,2024-08-28
Sunnyside Beach,2024-08-28,320,2024-08-28
Sunnyside Beach,2024-08-28,320,2024-08-28
Sunnyside Beach,2024-08-28,280,2024-08-28
Marie Curtis Park East Beach,2024-08-27,200,2024-08-27
Marie Curtis Park East Beach,2024-08-27,100,2024-08-27
Marie Curtis Park East Beach,2024-08-27,110,2024-08-27
Marie Curtis Park East Beach,2024-08-27,200,2024-08-27
Marie Curtis Park East Beach,2024-08-27,230,2024-08-27
Sunnyside Beach,2024-08-27,870,2024-08-27
Sunnyside Beach,2024-08-27,80,2024-08-27
Sunnyside Beach,2024-08-27,10,2024-08-27
Sunnyside Beach,2024-08-27,150,2024-08-27
Sunnyside Beach,2024-08-27,150,2024-08-27
Sunnyside Beach,2024-08-27,440,2024-08-27
Marie Curtis Park East Beach,2024-08-26,40,2024-08-26
Marie Curtis Park East Beach,2024-08-26,30,2024-08-26
Marie Curtis Park East Beach,2024-08-26,50,2024-08-26
Marie Curtis Park East Beach,2024-08-26,20,2024-08-26
Marie Curtis Park East Beach,2024-08-26,30,2024-08-26
Sunnyside Beach,2024-08-26,40,2024-08-26
Sunnyside Beach,2024-08-26,30,2024-08-26
Sunnyside Beach,2024-08-26,20,2024-08-26
Sunnyside Beach,2024-08-26,30,2024-08-26
Sunnyside Beach,2024-08-26,10,2024-08-26
Sunnyside Beach,2024-08-26,10,2024-08-26
Marie Curtis Park East Beach,2024-08-25,50,2024-08-25
Marie Curtis Park East Beach,2024-08-25,30,2024-08-25
Marie Curtis Park East Beach,2024-08-25,60,2024-08-25
Marie Curtis Park East Beach,2024-08-25,40,2024-08-25
Marie Curtis Park East Beach,2024-08-25,20,2024-08-25
Sunnyside Beach,2024-08-25,10,2024-08-25
Sunnyside Beach,2024-08-25,40,2024-08-25
Sunnyside Beach,2024-08-25,40,2024-08-25
Sunnyside Beach,2024-08-25,20,2024-08-25
Sunnyside Beach,2024-08-25,50,2024-08-25
Sunnyside Beach,2024-08-25,80,2024-08-25
Marie Curtis Park East Beach,2024-08-24,200,2024-08-24
Marie Curtis Park East Beach,2024-08-24,130,2024-08-24
Marie Curtis Park East Beach,2024-08-24,100,2024-08-24
Marie Curtis Park East Beach,2024-08-24,140,2024-08-24
Marie Curtis Park East Beach,2024-08-24,140,2024-08-24
Sunnyside Beach,2024-08-24,80,2024-08-24
Sunnyside Beach,2024-08-24,60,2024-08-24
Sunnyside Beach,2024-08-24,400,2024-08-24
Sunnyside Beach,2024-08-24,210,2024-08-24
Sunnyside Beach,2024-08-24,280,2024-08-24
Sunnyside Beach,2024-08-24,180,2024-08-24
Marie Curtis Park East Beach,2024-08-23,40,2024-08-23
Marie Curtis Park East Beach,2024-08-23,50,2024-08-23
Marie Curtis Park East Beach,2024-08-23,20,2024-08-23
Marie Curtis Park East Beach,2024-08-23,110,2024-08-23
Marie Curtis Park East Beach,2024-08-23,40,2024-08-23
Sunnyside Beach,2024-08-23,300,2024-08-23
Sunnyside Beach,2024-08-23,490,2024-08-23
Sunnyside Beach,2024-08-23,140,2024-08-23
Sunnyside Beach,2024-08-23,50,2024-08-23
Sunnyside Beach,2024-08-23,190,2024-08-23
Sunnyside Beach,2024-08-23,70,2024-08-23
Marie Curtis Park East Beach,2024-08-22,50,2024-08-22
